state_code,biden,trump,type,winner,e_vote
AL,179.0,171.0,red,trump,9
MT,33.0,33.0,red,trump,3
AK,50.0,47.0,red,trump,3
NE,71.0,60.0,red,trump,5
AZ,513.0,474.0,purple,contentious,11
NV,376.0,356.0,purple,contentious,6
AR,88.0,75.0,red,trump,6
NH,78.0,67.0,purple,contentious,4
CA,4416.0,3832.0,blue,biden,55
NJ,607.0,539.0,blue,contentious,14
CO,433.0,382.0,purple,contentious,9
NM,101.0,87.0,purple,contentious,5
CT,181.0,168.0,blue,biden,7
NY,3204.0,2753.0,blue,biden,29
DE,54.0,42.0,blue,biden,3
NC,606.0,539.0,purple,contentious,15
DC,951.0,801.0,blue,biden,3
ND,51.0,43.0,red,trump,3
FL,2047.0,1924.0,purple,contentious,29
OH,610.0,566.0,red,contentious,18
GA,591.0,512.0,purple,biden,16
OK,162.0,147.0,red,trump,7
HI,95.0,96.0,blue,biden,4
OR,351.0,292.0,blue,biden,7
ID,56.0,57.0,red,trump,4
PA,928.0,781.0,purple,biden,20
IL,1035.0,870.0,blue,biden,20
RI,57.0,55.0,blue,biden,4
IN,251.0,231.0,red,trump,11
SC,182.0,187.0,red,trump,9
IA,147.0,119.0,red,trump,6
SD,13.0,11.0,red,trump,3
KS,162.0,153.0,red,trump,6
TN,413.0,399.0,red,contentious,11
KY,249.0,226.0,red,trump,8
TX,2459.0,2281.0,red,contentious,38
LA,203.0,203.0,red,trump,8
UT,124.0,118.0,red,trump,6
ME,63.0,63.0,blue,biden,4
VT,46.0,31.0,blue,biden,3
MD,349.0,283.0,blue,biden,10
VA,372.0,335.0,purple,contentious,13
MA,610.0,513.0,blue,biden,11
WA,436.0,371.0,blue,biden,12
MI,523.0,459.0,purple,contentious,16
WV,61.0,64.0,red,trump,5
MN,293.0,252.0,purple,contentious,10
WI,267.0,247.0,purple,contentious,10
MS,63.0,62.0,red,trump,6
WY,32.0,33.0,red,trump,3
MO,309.0,275.0,red,trump,10
